,MOS,Dist,Ref
43,1.0,I01_11_4.bmp,I01.BMP
44,6.4242,I01_12_1.bmp,I01.BMP
45,4.3056,I01_12_2.bmp,I01.BMP
46,4.1111,I01_12_3.bmp,I01.BMP
47,3.3889,I01_12_4.bmp,I01.BMP
48,4.1714,I01_13_1.bmp,I01.BMP
49,3.8235,I01_13_2.bmp,I01.BMP
50,3.5143,I01_13_3.bmp,I01.BMP
51,3.1765,I01_13_4.bmp,I01.BMP
52,6.3429,I01_14_1.bmp,I01.BMP
53,6.3429,I01_14_2.bmp,I01.BMP
54,5.6944,I01_14_3.bmp,I01.BMP
55,4.6111,I01_14_4.bmp,I01.BMP
56,2.5143,I01_15_1.bmp,I01.BMP
57,2.9706,I01_15_2.bmp,I01.BMP
58,3.8571,I01_15_3.bmp,I01.BMP
59,4.2778,I01_15_4.bmp,I01.BMP
60,5.9412,I01_16_1.bmp,I01.BMP
61,5.6286,I01_16_2.bmp,I01.BMP
62,5.8889,I01_16_3.bmp,I01.BMP
63,4.8571,I01_16_4.bmp,I01.BMP
64,6.5,I01_17_1.bmp,I01.BMP
65,4.9714,I01_17_2.bmp,I01.BMP
66,6.1944,I01_17_3.bmp,I01.BMP
67,3.9722,I01_17_4.bmp,I01.BMP
68,6.3,I02_01_1.bmp,I02.BMP
69,5.6563,I02_01_2.bmp,I02.BMP
70,4.9375,I02_01_3.bmp,I02.BMP
71,4.0645,I02_01_4.bmp,I02.BMP
72,6.1724,I02_02_1.bmp,I02.BMP
73,6.4688,I02_02_2.bmp,I02.BMP
74,5.4839,I02_02_3.bmp,I02.BMP
75,5.0313,I02_02_4.bmp,I02.BMP
76,4.8387,I02_03_1.bmp,I02.BMP
77,4.0333,I02_03_2.bmp,I02.BMP
78,3.6452,I02_03_3.bmp,I02.BMP
79,3.0938,I02_03_4.bmp,I02.BMP
80,6.1935,I02_04_1.bmp,I02.BMP
81,6.0,I02_04_2.bmp,I02.BMP
82,5.2813,I02_04_3.bmp,I02.BMP
83,4.5484,I02_04_4.bmp,I02.BMP
84,7.0,I02_05_1.bmp,I02.BMP
85,5.8065,I02_05_2.bmp,I02.BMP
86,4.875,I02_05_3.bmp,I02.BMP
87,3.5,I02_05_4.bmp,I02.BMP
88,4.5938,I02_06_1.bmp,I02.BMP
89,4.2188,I02_06_2.bmp,I02.BMP
90,4.0,I02_06_3.bmp,I02.BMP
91,3.5,I02_06_4.bmp,I02.BMP
92,5.7188,I02_07_1.bmp,I02.BMP
93,4.2581,I02_07_2.bmp,I02.BMP
94,3.6452,I02_07_3.bmp,I02.BMP
95,2.9063,I02_07_4.bmp,I02.BMP
96,5.6774,I02_08_1.bmp,I02.BMP
97,4.7097,I02_08_2.bmp,I02.BMP
98,4.0,I02_08_3.bmp,I02.BMP
99,3.125,I02_08_4.bmp,I02.BMP
100,5.6875,I02_09_1.bmp,I02.BMP
101,4.9063,I02_09_2.bmp,I02.BMP
102,3.9032,I02_09_3.bmp,I02.BMP
103,2.2258,I02_09_4.bmp,I02.BMP
104,6.125,I02_10_1.bmp,I02.BMP
105,5.8065,I02_10_2.bmp,I02.BMP
106,3.4375,I02_10_3.bmp,I02.BMP
107,2.5625,I02_10_4.bmp,I02.BMP
108,5.0625,I02_11_1.bmp,I02.BMP
109,2.9355,I02_11_2.bmp,I02.BMP
110,1.2333,I02_11_3.bmp,I02.BMP
111,0.0,I02_11_4.bmp,I02.BMP
112,4.5161,I02_12_1.bmp,I02.BMP
113,3.3226,I02_12_2.bmp,I02.BMP
114,2.8125,I02_12_3.bmp,I02.BMP
115,1.871,I02_12_4.bmp,I02.BMP
116,4.3548,I02_13_1.bmp,I02.BMP
117,3.7333,I02_13_2.bmp,I02.BMP
118,2.7188,I02_13_3.bmp,I02.BMP
119,3.6774,I02_13_4.bmp,I02.BMP
120,6.2581,I02_14_1.bmp,I02.BMP
121,5.5625,I02_14_2.bmp,I02.BMP
122,5.1875,I02_14_3.bmp,I02.BMP
123,4.1563,I02_14_4.bmp,I02.BMP
124,3.25,I02_15_1.bmp,I02.BMP
125,3.6875,I02_15_2.bmp,I02.BMP
126,4.125,I02_15_3.bmp,I02.BMP
127,4.4194,I02_15_4.bmp,I02.BMP
128,6.2813,I02_16_1.bmp,I02.BMP
129,5.5,I02_16_2.bmp,I02.BMP
130,5.4063,I02_16_3.bmp,I02.BMP
131,5.1333,I02_16_4.bmp,I02.BMP
132,6.5313,I02_17_1.bmp,I02.BMP
133,5.2188,I02_17_2.bmp,I02.BMP
134,5.1333,I02_17_3.bmp,I02.BMP
135,4.2188,I02_17_4.bmp,I02.BMP
136,5.5,I03_01_1.bmp,I03.BMP
137,5.0667,I03_01_2.bmp,I03.BMP
138,4.6207,I03_01_3.bmp,I03.BMP
139,4.2414,I03_01_4.bmp,I03.BMP
140,6.3333,I03_02_1.bmp,I03.BMP
141,5.7,I03_02_2.bmp,I03.BMP
142,5.3214,I03_02_3.bmp,I03.BMP
143,4.9655,I03_02_4.bmp,I03.BMP
144,4.3793,I03_03_1.bmp,I03.BMP
145,3.9655,I03_03_2.bmp,I03.BMP
146,3.6,I03_03_3.bmp,I03.BMP
147,3.069,I03_03_4.bmp,I03.BMP
148,6.2333,I03_04_1.bmp,I03.BMP
149,5.4667,I03_04_2.bmp,I03.BMP
150,4.9333,I03_04_3.bmp,I03.BMP
151,4.1429,I03_04_4.bmp,I03.BMP
152,6.3667,I03_05_1.bmp,I03.BMP
153,5.6,I03_05_2.bmp,I03.BMP
154,4.9,I03_05_3.bmp,I03.BMP
155,3.8333,I03_05_4.bmp,I03.BMP
156,4.8966,I03_06_1.bmp,I03.BMP
157,4.5517,I03_06_2.bmp,I03.BMP
158,4.0357,I03_06_3.bmp,I03.BMP
159,3.9,I03_06_4.bmp,I03.BMP
160,4.6897,I03_07_1.bmp,I03.BMP
161,4.0,I03_07_2.bmp,I03.BMP
162,3.8333,I03_07_3.bmp,I03.BMP
163,3.6207,I03_07_4.bmp,I03.BMP
164,5.7931,I03_08_1.bmp,I03.BMP
165,5.2414,I03_08_2.bmp,I03.BMP
166,4.0,I03_08_3.bmp,I03.BMP
167,3.069,I03_08_4.bmp,I03.BMP
168,6.931,I03_09_1.bmp,I03.BMP
169,5.5333,I03_09_2.bmp,I03.BMP
170,4.0345,I03_09_3.bmp,I03.BMP
171,2.1786,I03_09_4.bmp,I03.BMP
172,6.3929,I03_10_1.bmp,I03.BMP
173,5.4138,I03_10_2.bmp,I03.BMP
174,3.1667,I03_10_3.bmp,I03.BMP
175,2.2667,I03_10_4.bmp,I03.BMP
176,4.1379,I03_11_1.bmp,I03.BMP
177,2.8667,I03_11_2.bmp,I03.BMP
178,1.1379,I03_11_3.bmp,I03.BMP
179,0.1667,I03_11_4.bmp,I03.BMP
180,4.3667,I03_12_1.bmp,I03.BMP
181,3.1333,I03_12_2.bmp,I03.BMP
182,3.1333,I03_12_3.bmp,I03.BMP
183,2.3333,I03_12_4.bmp,I03.BMP
184,3.8,I03_13_1.bmp,I03.BMP
185,3.9667,I03_13_2.bmp,I03.BMP
186,3.3448,I03_13_3.bmp,I03.BMP
187,2.4333,I03_13_4.bmp,I03.BMP
188,6.0345,I03_14_1.bmp,I03.BMP
189,5.1,I03_14_2.bmp,I03.BMP
190,4.2069,I03_14_3.bmp,I03.BMP
191,3.2,I03_14_4.bmp,I03.BMP
192,3.069,I03_15_1.bmp,I03.BMP
193,4.2333,I03_15_2.bmp,I03.BMP
194,4.3,I03_15_3.bmp,I03.BMP
195,4.7931,I03_15_4.bmp,I03.BMP
196,6.6,I03_16_1.bmp,I03.BMP
197,6.4333,I03_16_2.bmp,I03.BMP
198,6.4828,I03_16_3.bmp,I03.BMP
199,5.7586,I03_16_4.bmp,I03.BMP
200,7.2,I03_17_1.bmp,I03.BMP
201,5.5333,I03_17_2.bmp,I03.BMP
202,7.0667,I03_17_3.bmp,I03.BMP
203,4.5333,I03_17_4.bmp,I03.BMP
204,5.4286,I04_01_1.bmp,I04.BMP
205,4.9429,I04_01_2.bmp,I04.BMP
206,4.6176,I04_01_3.bmp,I04.BMP
207,4.1429,I04_01_4.bmp,I04.BMP
208,6.2857,I04_02_1.bmp,I04.BMP
209,5.6765,I04_02_2.bmp,I04.BMP
210,5.1471,I04_02_3.bmp,I04.BMP
211,4.6471,I04_02_4.bmp,I04.BMP
212,4.4412,I04_03_1.bmp,I04.BMP
213,3.9143,I04_03_2.bmp,I04.BMP
214,3.3529,I04_03_3.bmp,I04.BMP
215,3.1176,I04_03_4.bmp,I04.BMP
216,6.2,I04_04_1.bmp,I04.BMP
217,6.2424,I04_04_2.bmp,I04.BMP
218,5.6286,I04_04_3.bmp,I04.BMP
219,4.9714,I04_04_4.bmp,I04.BMP
220,6.1176,I04_05_1.bmp,I04.BMP
221,5.3235,I04_05_2.bmp,I04.BMP
222,4.5152,I04_05_3.bmp,I04.BMP
223,4.0588,I04_05_4.bmp,I04.BMP
224,4.7941,I04_06_1.bmp,I04.BMP
225,4.4118,I04_06_2.bmp,I04.BMP
226,4.0286,I04_06_3.bmp,I04.BMP
227,3.7647,I04_06_4.bmp,I04.BMP
228,4.0588,I04_07_1.bmp,I04.BMP
229,3.6765,I04_07_2.bmp,I04.BMP
230,3.1212,I04_07_3.bmp,I04.BMP
231,2.8235,I04_07_4.bmp,I04.BMP
232,6.2121,I04_08_1.bmp,I04.BMP
233,5.5714,I04_08_2.bmp,I04.BMP
234,4.9394,I04_08_3.bmp,I04.BMP
235,3.7059,I04_08_4.bmp,I04.BMP
236,6.1471,I04_09_1.bmp,I04.BMP
237,5.4286,I04_09_2.bmp,I04.BMP
238,4.0588,I04_09_3.bmp,I04.BMP
239,2.6286,I04_09_4.bmp,I04.BMP
240,6.1471,I04_10_1.bmp,I04.BMP
241,5.2857,I04_10_2.bmp,I04.BMP
242,3.1765,I04_10_3.bmp,I04.BMP
243,1.8235,I04_10_4.bmp,I04.BMP
244,3.8182,I04_11_1.bmp,I04.BMP
245,2.8286,I04_11_2.bmp,I04.BMP
246,1.7714,I04_11_3.bmp,I04.BMP
247,0.0606,I04_11_4.bmp,I04.BMP
248,4.8857,I04_12_1.bmp,I04.BMP
249,4.3429,I04_12_2.bmp,I04.BMP
250,3.0286,I04_12_3.bmp,I04.BMP
251,2.5882,I04_12_4.bmp,I04.BMP
252,3.8571,I04_13_1.bmp,I04.BMP
253,3.2857,I04_13_2.bmp,I04.BMP
254,3.7143,I04_13_3.bmp,I04.BMP
255,2.5152,I04_13_4.bmp,I04.BMP
256,6.2941,I04_14_1.bmp,I04.BMP
257,6.1143,I04_14_2.bmp,I04.BMP
258,4.5294,I04_14_3.bmp,I04.BMP
259,3.7647,I04_14_4.bmp,I04.BMP
260,2.4118,I04_15_1.bmp,I04.BMP
261,3.4706,I04_15_2.bmp,I04.BMP
262,4.0857,I04_15_3.bmp,I04.BMP
263,4.5714,I04_15_4.bmp,I04.BMP
264,6.3333,I04_16_1.bmp,I04.BMP
265,6.2571,I04_16_2.bmp,I04.BMP
266,5.6857,I04_16_3.bmp,I04.BMP
267,5.7714,I04_16_4.bmp,I04.BMP
268,7.2059,I04_17_1.bmp,I04.BMP
269,5.1765,I04_17_2.bmp,I04.BMP
270,7.7143,I04_17_3.bmp,I04.BMP
271,4.3235,I04_17_4.bmp,I04.BMP
272,5.8788,I05_01_1.bmp,I05.BMP
273,5.0323,I05_01_2.bmp,I05.BMP
274,4.5152,I05_01_3.bmp,I05.BMP
275,3.8387,I05_01_4.bmp,I05.BMP
276,5.5938,I05_02_1.bmp,I05.BMP
277,5.9697,I05_02_2.bmp,I05.BMP
278,5.2424,I05_02_3.bmp,I05.BMP
279,4.7742,I05_02_4.bmp,I05.BMP
280,4.6061,I05_03_1.bmp,I05.BMP
281,3.8182,I05_03_2.bmp,I05.BMP
282,3.5938,I05_03_3.bmp,I05.BMP
283,2.7813,I05_03_4.bmp,I05.BMP
284,6.0,I05_04_1.bmp,I05.BMP
285,5.625,I05_04_2.bmp,I05.BMP
286,5.4375,I05_04_3.bmp,I05.BMP
287,4.6875,I05_04_4.bmp,I05.BMP
288,6.0606,I05_05_1.bmp,I05.BMP
289,5.3636,I05_05_2.bmp,I05.BMP
290,4.3333,I05_05_3.bmp,I05.BMP
291,3.1563,I05_05_4.bmp,I05.BMP
292,4.3939,I05_06_1.bmp,I05.BMP
293,3.9394,I05_06_2.bmp,I05.BMP
294,3.5938,I05_06_3.bmp,I05.BMP
295,3.0323,I05_06_4.bmp,I05.BMP
296,5.5758,I05_07_1.bmp,I05.BMP
297,4.8182,I05_07_2.bmp,I05.BMP
298,3.7813,I05_07_3.bmp,I05.BMP
299,3.0909,I05_07_4.bmp,I05.BMP
300,4.875,I05_08_1.bmp,I05.BMP
301,3.8485,I05_08_2.bmp,I05.BMP
302,3.1212,I05_08_3.bmp,I05.BMP
303,1.1515,I05_08_4.bmp,I05.BMP
304,6.3125,I05_09_1.bmp,I05.BMP
305,5.4242,I05_09_2.bmp,I05.BMP
306,3.4688,I05_09_3.bmp,I05.BMP
307,1.6667,I05_09_4.bmp,I05.BMP
308,5.5625,I05_10_1.bmp,I05.BMP
309,4.6667,I05_10_2.bmp,I05.BMP
310,3.625,I05_10_3.bmp,I05.BMP
311,1.8182,I05_10_4.bmp,I05.BMP
312,5.697,I05_11_1.bmp,I05.BMP
313,5.0323,I05_11_2.bmp,I05.BMP
314,3.871,I05_11_3.bmp,I05.BMP
315,2.5152,I05_11_4.bmp,I05.BMP
316,6.2121,I05_12_1.bmp,I05.BMP
317,5.375,I05_12_2.bmp,I05.BMP
318,4.1875,I05_12_3.bmp,I05.BMP
319,2.5938,I05_12_4.bmp,I05.BMP
320,5.7188,I05_13_1.bmp,I05.BMP
321,3.9394,I05_13_2.bmp,I05.BMP
322,3.5938,I05_13_3.bmp,I05.BMP
323,2.3438,I05_13_4.bmp,I05.BMP
324,6.1818,I05_14_1.bmp,I05.BMP
325,6.3438,I05_14_2.bmp,I05.BMP
326,5.5455,I05_14_3.bmp,I05.BMP
327,4.6364,I05_14_4.bmp,I05.BMP
328,2.25,I05_15_1.bmp,I05.BMP
329,3.1212,I05_15_2.bmp,I05.BMP
330,3.4242,I05_15_3.bmp,I05.BMP
331,4.0,I05_15_4.bmp,I05.BMP
332,5.7188,I05_16_1.bmp,I05.BMP
333,5.9063,I05_16_2.bmp,I05.BMP
334,5.0,I05_16_3.bmp,I05.BMP
335,5.0938,I05_16_4.bmp,I05.BMP
336,7.0313,I05_17_1.bmp,I05.BMP
337,4.6667,I05_17_2.bmp,I05.BMP
338,6.9394,I05_17_3.bmp,I05.BMP
339,3.4848,I05_17_4.bmp,I05.BMP
340,5.75,I06_01_1.bmp,I06.BMP
341,5.3333,I06_01_2.bmp,I06.BMP
342,4.7838,I06_01_3.bmp,I06.BMP
343,4.1351,I06_01_4.bmp,I06.BMP
344,6.6,I06_02_1.bmp,I06.BMP
345,6.1111,I06_02_2.bmp,I06.BMP
346,5.4167,I06_02_3.bmp,I06.BMP
347,4.9714,I06_02_4.bmp,I06.BMP
348,4.5405,I06_03_1.bmp,I06.BMP
349,3.973,I06_03_2.bmp,I06.BMP
350,3.3889,I06_03_3.bmp,I06.BMP
351,2.7838,I06_03_4.bmp,I06.BMP
352,6.3243,I06_04_1.bmp,I06.BMP
353,5.7143,I06_04_2.bmp,I06.BMP
354,5.3611,I06_04_3.bmp,I06.BMP
355,4.7647,I06_04_4.bmp,I06.BMP
356,6.0811,I06_05_1.bmp,I06.BMP
357,5.4324,I06_05_2.bmp,I06.BMP
358,4.7027,I06_05_3.bmp,I06.BMP
359,3.4857,I06_05_4.bmp,I06.BMP
360,4.8649,I06_06_1.bmp,I06.BMP
361,4.4865,I06_06_2.bmp,I06.BMP
362,4.1389,I06_06_3.bmp,I06.BMP
363,3.5556,I06_06_4.bmp,I06.BMP
364,5.1944,I06_07_1.bmp,I06.BMP
365,4.6944,I06_07_2.bmp,I06.BMP
366,3.2286,I06_07_3.bmp,I06.BMP
367,3.0833,I06_07_4.bmp,I06.BMP
368,4.8889,I06_08_1.bmp,I06.BMP
369,4.1389,I06_08_2.bmp,I06.BMP
370,3.1944,I06_08_3.bmp,I06.BMP
371,2.1622,I06_08_4.bmp,I06.BMP
372,6.3333,I06_09_1.bmp,I06.BMP
373,5.1111,I06_09_2.bmp,I06.BMP
374,3.3243,I06_09_3.bmp,I06.BMP
375,1.4571,I06_09_4.bmp,I06.BMP
376,6.1081,I06_10_1.bmp,I06.BMP
377,5.2703,I06_10_2.bmp,I06.BMP
378,3.3333,I06_10_3.bmp,I06.BMP
379,1.5135,I06_10_4.bmp,I06.BMP
380,5.7838,I06_11_1.bmp,I06.BMP
381,5.1111,I06_11_2.bmp,I06.BMP
382,3.1111,I06_11_3.bmp,I06.BMP
383,0.1429,I06_11_4.bmp,I06.BMP
384,4.5556,I06_12_1.bmp,I06.BMP
385,4.1389,I06_12_2.bmp,I06.BMP
386,3.6667,I06_12_3.bmp,I06.BMP
387,4.1622,I06_12_4.bmp,I06.BMP
388,5.1892,I06_13_1.bmp,I06.BMP
389,4.4444,I06_13_2.bmp,I06.BMP
390,3.4444,I06_13_3.bmp,I06.BMP
391,2.6389,I06_13_4.bmp,I06.BMP
392,6.3784,I06_14_1.bmp,I06.BMP
393,5.1351,I06_14_2.bmp,I06.BMP
394,4.5,I06_14_3.bmp,I06.BMP
395,4.25,I06_14_4.bmp,I06.BMP
396,2.5556,I06_15_1.bmp,I06.BMP
397,3.25,I06_15_2.bmp,I06.BMP
398,4.0278,I06_15_3.bmp,I06.BMP
399,4.4324,I06_15_4.bmp,I06.BMP
400,6.8333,I06_16_1.bmp,I06.BMP
401,5.6111,I06_16_2.bmp,I06.BMP
402,5.8108,I06_16_3.bmp,I06.BMP
403,4.9459,I06_16_4.bmp,I06.BMP
404,6.5405,I06_17_1.bmp,I06.BMP
405,4.6111,I06_17_2.bmp,I06.BMP
406,6.0,I06_17_3.bmp,I06.BMP
407,3.7143,I06_17_4.bmp,I06.BMP
408,5.5455,I07_01_1.bmp,I07.BMP
409,4.9091,I07_01_2.bmp,I07.BMP
410,4.8182,I07_01_3.bmp,I07.BMP
411,4.0,I07_01_4.bmp,I07.BMP
412,6.0909,I07_02_1.bmp,I07.BMP
413,6.0,I07_02_2.bmp,I07.BMP
414,5.3333,I07_02_3.bmp,I07.BMP
415,5.0588,I07_02_4.bmp,I07.BMP
416,4.6563,I07_03_1.bmp,I07.BMP
417,4.0882,I07_03_2.bmp,I07.BMP
418,3.3824,I07_03_3.bmp,I07.BMP
419,2.8235,I07_03_4.bmp,I07.BMP
420,6.2727,I07_04_1.bmp,I07.BMP
421,5.7273,I07_04_2.bmp,I07.BMP
422,5.4516,I07_04_3.bmp,I07.BMP
423,4.5,I07_04_4.bmp,I07.BMP
424,6.4516,I07_05_1.bmp,I07.BMP
425,5.7879,I07_05_2.bmp,I07.BMP
426,4.8125,I07_05_3.bmp,I07.BMP
427,3.7353,I07_05_4.bmp,I07.BMP
428,4.8788,I07_06_1.bmp,I07.BMP
429,4.8182,I07_06_2.bmp,I07.BMP
430,4.1515,I07_06_3.bmp,I07.BMP
431,3.7353,I07_06_4.bmp,I07.BMP
432,5.3636,I07_07_1.bmp,I07.BMP
433,4.2059,I07_07_2.bmp,I07.BMP
434,3.6667,I07_07_3.bmp,I07.BMP
435,2.7353,I07_07_4.bmp,I07.BMP
436,5.7576,I07_08_1.bmp,I07.BMP
437,4.6765,I07_08_2.bmp,I07.BMP
438,3.6471,I07_08_3.bmp,I07.BMP
439,2.6667,I07_08_4.bmp,I07.BMP
440,6.2353,I07_09_1.bmp,I07.BMP
441,5.5,I07_09_2.bmp,I07.BMP
442,3.9688,I07_09_3.bmp,I07.BMP
443,2.4118,I07_09_4.bmp,I07.BMP
444,6.1765,I07_10_1.bmp,I07.BMP
445,5.0,I07_10_2.bmp,I07.BMP
446,3.6471,I07_10_3.bmp,I07.BMP
447,2.2424,I07_10_4.bmp,I07.BMP
448,4.8235,I07_11_1.bmp,I07.BMP
449,3.5938,I07_11_2.bmp,I07.BMP
450,2.0,I07_11_3.bmp,I07.BMP
451,0.3125,I07_11_4.bmp,I07.BMP
452,4.4848,I07_12_1.bmp,I07.BMP
453,3.7353,I07_12_2.bmp,I07.BMP
454,2.8824,I07_12_3.bmp,I07.BMP
455,2.3235,I07_12_4.bmp,I07.BMP
456,4.2059,I07_13_1.bmp,I07.BMP
457,3.697,I07_13_2.bmp,I07.BMP
458,2.6667,I07_13_3.bmp,I07.BMP
459,2.5,I07_13_4.bmp,I07.BMP
460,6.3636,I07_14_1.bmp,I07.BMP
461,5.9412,I07_14_2.bmp,I07.BMP
462,5.3636,I07_14_3.bmp,I07.BMP
463,4.1212,I07_14_4.bmp,I07.BMP
464,3.2188,I07_15_1.bmp,I07.BMP
465,3.4848,I07_15_2.bmp,I07.BMP
466,3.6875,I07_15_3.bmp,I07.BMP
467,4.2121,I07_15_4.bmp,I07.BMP
468,6.6061,I07_16_1.bmp,I07.BMP
469,6.3636,I07_16_2.bmp,I07.BMP
470,5.697,I07_16_3.bmp,I07.BMP
471,5.3939,I07_16_4.bmp,I07.BMP
472,6.75,I07_17_1.bmp,I07.BMP
473,5.0303,I07_17_2.bmp,I07.BMP
474,6.5882,I07_17_3.bmp,I07.BMP
475,4.0303,I07_17_4.bmp,I07.BMP
476,5.6875,I08_01_1.bmp,I08.BMP
477,5.0,I08_01_2.bmp,I08.BMP
478,4.3226,I08_01_3.bmp,I08.BMP
479,4.1613,I08_01_4.bmp,I08.BMP
480,6.2188,I08_02_1.bmp,I08.BMP
481,5.7333,I08_02_2.bmp,I08.BMP
482,5.4667,I08_02_3.bmp,I08.BMP
483,5.2,I08_02_4.bmp,I08.BMP
484,4.8125,I08_03_1.bmp,I08.BMP
485,4.0323,I08_03_2.bmp,I08.BMP
486,3.4375,I08_03_3.bmp,I08.BMP
487,2.8387,I08_03_4.bmp,I08.BMP
488,5.875,I08_04_1.bmp,I08.BMP
489,6.0323,I08_04_2.bmp,I08.BMP
490,5.5,I08_04_3.bmp,I08.BMP
491,5.1613,I08_04_4.bmp,I08.BMP
492,5.9063,I08_05_1.bmp,I08.BMP
493,5.7742,I08_05_2.bmp,I08.BMP
494,4.5806,I08_05_3.bmp,I08.BMP
495,3.6129,I08_05_4.bmp,I08.BMP
496,4.4839,I08_06_1.bmp,I08.BMP
497,4.3125,I08_06_2.bmp,I08.BMP
498,3.875,I08_06_3.bmp,I08.BMP
499,3.4194,I08_06_4.bmp,I08.BMP
500,5.1563,I08_07_1.bmp,I08.BMP
501,4.5313,I08_07_2.bmp,I08.BMP
502,3.5484,I08_07_3.bmp,I08.BMP
503,2.5484,I08_07_4.bmp,I08.BMP
504,5.129,I08_08_1.bmp,I08.BMP
505,3.9355,I08_08_2.bmp,I08.BMP
506,3.0645,I08_08_3.bmp,I08.BMP
507,1.9063,I08_08_4.bmp,I08.BMP
508,6.0625,I08_09_1.bmp,I08.BMP
509,5.2667,I08_09_2.bmp,I08.BMP
510,4.0,I08_09_3.bmp,I08.BMP
511,1.9688,I08_09_4.bmp,I08.BMP
512,6.0625,I08_10_1.bmp,I08.BMP
513,5.0,I08_10_2.bmp,I08.BMP
514,3.3226,I08_10_3.bmp,I08.BMP
515,1.0938,I08_10_4.bmp,I08.BMP
516,5.4194,I08_11_1.bmp,I08.BMP
517,4.9677,I08_11_2.bmp,I08.BMP
518,4.3226,I08_11_3.bmp,I08.BMP
519,2.4194,I08_11_4.bmp,I08.BMP
520,5.9032,I08_12_1.bmp,I08.BMP
521,5.5667,I08_12_2.bmp,I08.BMP
522,4.4688,I08_12_3.bmp,I08.BMP
523,3.7097,I08_12_4.bmp,I08.BMP
524,3.625,I08_13_1.bmp,I08.BMP
525,4.5806,I08_13_2.bmp,I08.BMP
526,3.3125,I08_13_3.bmp,I08.BMP
527,2.4516,I08_13_4.bmp,I08.BMP
528,6.0968,I08_14_1.bmp,I08.BMP
529,5.5806,I08_14_2.bmp,I08.BMP
530,4.75,I08_14_3.bmp,I08.BMP
531,3.5313,I08_14_4.bmp,I08.BMP
532,2.4516,I08_15_1.bmp,I08.BMP
533,3.25,I08_15_2.bmp,I08.BMP
534,4.0,I08_15_3.bmp,I08.BMP
535,3.8438,I08_15_4.bmp,I08.BMP
536,6.2258,I08_16_1.bmp,I08.BMP
537,5.7813,I08_16_2.bmp,I08.BMP
538,5.7188,I08_16_3.bmp,I08.BMP
539,5.0,I08_16_4.bmp,I08.BMP
540,5.8065,I08_17_1.bmp,I08.BMP
541,4.9063,I08_17_2.bmp,I08.BMP
542,5.3125,I08_17_3.bmp,I08.BMP
543,3.871,I08_17_4.bmp,I08.BMP
544,5.2424,I09_01_1.bmp,I09.BMP
545,5.0882,I09_01_2.bmp,I09.BMP
546,4.8125,I09_01_3.bmp,I09.BMP
547,4.1818,I09_01_4.bmp,I09.BMP
548,6.2059,I09_02_1.bmp,I09.BMP
549,5.8182,I09_02_2.bmp,I09.BMP
550,5.4706,I09_02_3.bmp,I09.BMP
551,4.8235,I09_02_4.bmp,I09.BMP
552,4.4412,I09_03_1.bmp,I09.BMP
553,4.1765,I09_03_2.bmp,I09.BMP
554,3.6176,I09_03_3.bmp,I09.BMP
555,3.303,I09_03_4.bmp,I09.BMP
556,5.9706,I09_04_1.bmp,I09.BMP
557,5.4412,I09_04_2.bmp,I09.BMP
558,5.0303,I09_04_3.bmp,I09.BMP
559,4.4412,I09_04_4.bmp,I09.BMP
560,6.2727,I09_05_1.bmp,I09.BMP
561,5.3235,I09_05_2.bmp,I09.BMP
